Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),DINING_ROOM:Zone Mean Air Temperature [C](Hourly),KITCHEN:Zone Mean Air Temperature [C](Hourly),LIVING_ROOM:Zone Mean Air Temperature [C](Hourly),HALL:Zone Mean Air Temperature [C](Hourly),BATHROOM:Zone Mean Air Temperature [C](Hourly),WC:Zone Mean Air Temperature [C](Hourly),BEDROOM2:Zone Mean Air Temperature [C](Hourly),BEDROOM1:Zone Mean Air Temperature [C](Hourly),BEDROOM3:Zone Mean Air Temperature [C](Hourly),LANDING:Zone Mean Air Temperature [C](Hourly),ROOF:Zone Mean Air Temperature [C](Hourly) 
 01/02  12:00:00,13.9,21.62476795353778,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,17.74210181277614 
 01/02  13:00:00,13.9,21.040796208962815,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,17.766336719175 
 01/02  14:00:00,13.9,20.999682822670179,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,17.789607780602965 
 01/02  15:00:00,12.908333333333334,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,17.7775825309512 
 01/02  16:00:00,12.550000000000003,21.0,21.0,21.01857226476407,21.0,21.0,21.0,21.0,21.0,21.0,21.0,17.790354816576057 
 01/02  17:00:00,11.808333333333336,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,17.807518178290566 
 01/02  18:00:00,10.808333333333332,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,17.723793490405244 
 01/02  19:00:00,11.241666666666668,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,17.73177953080468 
 01/02  20:00:00,11.700000000000001,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,17.779069325900008 
 01/02  21:00:00,10.708333333333334,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,17.728319099612244 
 01/02  22:00:00,9.358333333333335,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,17.616946693244996 
 01/02  23:00:00,9.191666666666667,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,17.56549653448636 
 01/02  24:00:00,9.108333333333333,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,17.539640623189116 
