Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),DINING_ROOM:Zone Mean Air Temperature [C](Hourly),KITCHEN:Zone Mean Air Temperature [C](Hourly),LIVING_ROOM:Zone Mean Air Temperature [C](Hourly),HALL:Zone Mean Air Temperature [C](Hourly),BATHROOM:Zone Mean Air Temperature [C](Hourly),WC:Zone Mean Air Temperature [C](Hourly),BEDROOM2:Zone Mean Air Temperature [C](Hourly),BEDROOM1:Zone Mean Air Temperature [C](Hourly),BEDROOM3:Zone Mean Air Temperature [C](Hourly),LANDING:Zone Mean Air Temperature [C](Hourly),ROOF:Zone Mean Air Temperature [C](Hourly) 
 01/01  01:00:00,6.991666666666667,21.161721380731078,21.0155135374707,21.0,21.0,21.003455964533946,22.098029760371717,21.0,21.0,21.0,21.0,17.75030560951697 
 01/01  02:00:00,7.2,21.013215235805665,21.0,21.0,21.0,21.0,21.96838468680664,21.0,21.0,21.0,21.0,17.719799752040463 
 01/01  03:00:00,6.908333333333334,21.0,21.0,21.0,21.0,21.0,21.790798493319213,21.0,21.0,21.0,21.0,17.661073991995378 
 01/01  04:00:00,6.3500000000000009,21.0,21.0,21.0,21.0,21.0,21.601767686438774,21.0,21.0,21.0,21.0,17.578123444864596 
 01/01  05:00:00,5.108333333333334,21.0,21.0,21.0,21.0,21.0,21.361189226460867,21.0,21.0,21.0,21.0,17.453647151541437 
 01/01  06:00:00,4.3999999999999999,21.0,21.0,21.0,21.0,21.0,21.140368906561819,21.0,21.0,21.0,21.0,17.336729188191716 
 01/01  07:00:00,5.391666666666667,21.0,21.0,21.0,21.0,21.0,21.028279070435489,21.0,21.0,21.0,21.0,17.327777750481414 
 01/01  08:00:00,5.458333333333333,21.0,21.0,21.0,21.0,21.0,21.000984518613789,21.0,21.0,21.0,21.0,17.30616755270106 
 01/01  09:00:00,6.633333333333333,21.459187158575124,21.011552827235304,21.0,21.0,21.0,21.479902272927615,21.0,21.0,21.0,21.0,17.32487855491905 
 01/01  10:00:00,8.441666666666667,23.44528079920416,21.751915041363558,21.0,21.0,21.043714250094796,22.145643605024863,21.0,21.0,21.0,21.0,17.47362132970276 
 01/01  11:00:00,9.191666666666667,25.05085311083255,22.688062167883257,21.0,21.0,21.51135549108507,22.64184304696042,21.252239806913076,21.0,21.0,21.0,17.582996761555159 
 01/01  12:00:00,9.75,25.764053464036154,23.06679997517233,21.0,21.0,21.866096726743959,22.887463148690477,21.62422722306525,21.0,21.0,21.0,17.681409318892116 
 01/01  13:00:00,10.350000000000002,26.251781086865607,23.338267346319225,21.0,21.0,22.2582885864164,23.14090438248751,21.957563419503033,21.0,21.0,21.0,17.783227871892707 
 01/01  14:00:00,10.891666666666666,26.745068728344135,23.719099471801404,21.0,21.0,22.7129066901829,23.434610316459929,22.3088588362609,21.0,21.0,21.0,17.886377346628568 
 01/01  15:00:00,12.733333333333335,27.29490626941249,24.23370374196308,21.0,21.0,23.225874872540744,23.773848584324626,22.736484018857984,21.0,21.0,21.0,18.074110658603805 
 01/01  16:00:00,13.9,26.712607658174659,24.16513825654211,21.0,21.0,23.191296605457297,23.68572127344108,22.691232452692817,21.0,21.0,21.0,18.267968815574343 
 01/01  17:00:00,12.266666666666666,24.560280578992523,23.209867196339446,21.0,21.0,22.432733110867006,23.105697122710294,21.89664720568963,21.0,21.0,21.0,18.221346102711494 
 01/01  18:00:00,11.1,23.249658867210358,22.619860346485173,21.0,21.0,22.074250673828549,22.8630203786124,21.39503012901707,21.0,21.0,21.0,18.08749380716304 
 01/01  19:00:00,10.808333333333332,22.868136184392829,22.45584032897237,21.0,21.0,22.032876978541187,22.834598418086104,21.272395923194038,21.0,21.0,21.0,18.037959394756709 
