Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),DINING_ROOM:Zone Mean Air Temperature [C](Hourly),KITCHEN:Zone Mean Air Temperature [C](Hourly),LIVING_ROOM:Zone Mean Air Temperature [C](Hourly),HALL:Zone Mean Air Temperature [C](Hourly),BATHROOM:Zone Mean Air Temperature [C](Hourly),WC:Zone Mean Air Temperature [C](Hourly),BEDROOM2:Zone Mean Air Temperature [C](Hourly),BEDROOM1:Zone Mean Air Temperature [C](Hourly),BEDROOM3:Zone Mean Air Temperature [C](Hourly),LANDING:Zone Mean Air Temperature [C](Hourly),ROOF:Zone Mean Air Temperature [C](Hourly) 
 01/01  01:00:00,6.991666666666667,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,17.638582990908359 
 01/01  02:00:00,7.2,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,17.612338744690207 
 01/01  03:00:00,6.908333333333334,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,17.557455053067437 
 01/01  04:00:00,6.3500000000000009,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,17.47805361504409 
 01/01  05:00:00,5.108333333333334,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,17.35693095472826 
 01/01  06:00:00,4.3999999999999999,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,17.243264696907759 
 01/01  07:00:00,5.391666666666667,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,17.23753246518557 
 01/01  08:00:00,5.458333333333333,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,17.21927309337281 
 01/01  09:00:00,6.633333333333333,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,17.254191880356406 
 01/01  10:00:00,8.441666666666667,21.0,21.0,21.0,21.0,21.0,21.0,21.000000000000005,21.0,21.0,21.0,17.422799632916637 
 01/01  11:00:00,9.191666666666667,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.00047954717225,17.532124232410469 
 01/01  12:00:00,9.75,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.059084268748934,17.598370746765949 
 01/01  13:00:00,10.350000000000002,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.22555690507586,17.64802321329164 
 01/01  14:00:00,10.891666666666666,21.0,21.005792028117904,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.43979157490448,17.70427367306991 
 01/01  15:00:00,12.733333333333335,21.406661080182574,21.605579495525264,21.0,21.0,21.00298240130231,21.05033283124681,21.0,21.0,21.0,21.742668006167347,17.866380314152996 
 01/01  16:00:00,13.9,22.168253252845188,22.19745959073498,21.0,21.0,21.15900790787808,21.22748857547217,21.0,21.0,21.0,21.75459539336066,18.062156579312349 
 01/01  17:00:00,12.266666666666666,21.208677717424015,21.429282764042744,21.0,21.0,21.00512782178235,21.009605957433349,21.0,21.0,21.0,21.332562925497613,18.03353136018857 
 01/01  18:00:00,11.1,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.130882702293687,17.919334146891104 
 01/01  19:00:00,10.808333333333332,21.0,21.0,21.0,20.99957093914076,21.0,21.0,21.0,21.0,21.0,21.135770146142926,17.886093359768038 
 01/01  20:00:00,10.600000000000002,21.0,21.0,21.0,21.01290661196236,21.0,21.0,21.0,21.0,21.0,21.123573805907506,17.85934183614627 
 01/01  21:00:00,9.608333333333333,21.0,21.0,21.0,21.001859665824488,21.0,21.0,21.0,21.0,21.0,21.03896537819246,17.795234801499047 
 01/01  22:00:00,9.191666666666667,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,17.72986662786288 
 01/01  23:00:00,8.466666666666667,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,17.670778636767936 
 01/01  24:00:00,7.158333333333334,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,17.547649875388119 
 01/02  01:00:00,7.983333333333334,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,17.53448442281393 
 01/02  02:00:00,7.266666666666667,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,17.489604180741848 
 01/02  03:00:00,5.808333333333333,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,17.338120931622496 
 01/02  04:00:00,4.608333333333333,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,17.214510881680103 
 01/02  05:00:00,4.891666666666667,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,17.151002210877825 
 01/02  06:00:00,6.533333333333332,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,17.205992608464809 
 01/02  07:00:00,7.55,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,17.246411210411833 
 01/02  08:00:00,7.45,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,17.220160982185637 
 01/02  09:00:00,9.183333333333334,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,17.296274486251457 
 01/02  10:00:00,11.241666666666668,21.0,21.0,21.0,20.999999999999998,21.0,21.0,21.0,21.0,21.0,21.0,17.500555210582694 
 01/02  11:00:00,12.983333333333333,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.01193538435866,17.68471199688979 
 01/02  12:00:00,13.9,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.288854652309174,17.822918950737614 
 01/02  13:00:00,13.9,21.0,21.0,21.0,20.999999999999998,21.0,21.0,21.0,21.0,21.0,21.5712665047409,17.850653527269047 
 01/02  14:00:00,13.9,21.0,21.03556314397965,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.533613580657108,17.874433909003057 
 01/02  15:00:00,12.908333333333334,21.186398908005875,21.417729186449919,21.0,21.0,21.0,20.99791351927132,21.0,21.0,21.0,21.554849409431509,17.854526529270939 
 01/02  16:00:00,12.550000000000003,21.799525718371045,21.79842876402107,21.0,21.0,21.003227075203374,21.10843638747065,21.0,21.0,21.0,21.490102477816,17.85282842673372 
